Weekday,SO2,y2011,y2012,y2013,y2014,y2015
Mon,11.01447347,13.95099668,10.2,11.69293924,10.67874794,8.404444444
Tue,10.18186467,11.2,11.03174603,10.67127746,10.91286307,6.802025783
Wed,9.995147256,10.38802083,10.82612245,11,10.39824421,7.14158504
Thur,9.43766756,10.06086221,9.710355987,10.87916667,9.38592233,6.97574124
Fri,9.790877075,11.17602682,9.071020408,12.22072452,9.177795656,7.196412556
Sat,10.00654236,11.35662651,9.504460665,12.38374899,8.697506034,7.928695652
Sun,10.80209185,12.8942623,11.02519685,11.91477273,11.06425703,6.8671875
