Weekday,SO2,y2011,y2012,y2013,y2014,y2015
Mon,12.17817633,13.03916667,12.76566314,14.1325,12.84991708,7.83642794
Tue,12.19034091,12.32754342,13.20974401,14.16546763,13.43187448,7.313067151
Wed,12.42228543,12.92142266,12.7440525,14.02773246,13.57966373,8.316573557
Thur,12.18038822,13.44003309,13.0466067,13.63336086,12.6962963,7.736135957
Fri,12.41637602,13.10466067,13.98212835,14.59439406,12.31561733,7.740937224
Sat,12.28926295,12.63307087,13.58286176,14.60244898,12.48032129,7.816112084
Sun,12.58243221,13.56592957,13.56295695,14.27364017,13.45200984,7.788646288
