Weekday,SO2,y2011,y2012,y2013,y2014,y2015
Mon,10.49064484,10.95095594,10.93685872,12.75147929,9.637717122,8.032918149
Tue,10.27185955,10.05630252,10.83333333,12.93428812,9.621149042,7.704315886
Wed,10.09623502,9.805463576,10.64540816,13.20666667,9.204326923,7.425297892
Thur,10.09674082,9.647946354,10.62784588,13.43206751,9.05764411,7.527726433
Fri,10.13559322,10.28233305,10.00433651,13.56869276,9.161764706,7.542581212
Sat,10.24098361,10.90873328,9.858202803,13.12874494,9.379227053,7.712028095
Sun,10.38643613,10.40183793,11.04257095,12.92916667,9.732289951,7.719512195
