Weekday,SO2,y2011,y2012,y2013,y2014,y2015
Mon,11.13693153,14.35980551,10.17324738,11.87376238,10.83799342,8.127272727
Tue,10.89119866,12.47206005,10.80562448,11.93242156,11.03413822,7.964061096
Wed,10.70115528,12.87069689,10.46856664,11.78151261,10.08096828,8.143626571
Thur,10.41389578,12.42880391,9.737864078,11.3807599,10.00987654,8.334219858
Fri,10.75280158,13.30992736,9.378334681,12.51788618,10.09105824,8.274715661
Sat,10.99216966,13.85179283,10.24679487,11.98873693,10.525,8.091783217
Sun,10.91917385,13.27405012,9.974036192,11.97672552,10.96314103,8.23016565
